iteration,error,value
0,0.043685201,3.75
1,0.014432828,3.593037438
2,0.02443255,3.645654542
3,0.069698235,3.736957953
4,0.008600111,3.493469308
5,0.009720401,3.523774156
6,0.011544128,3.558362871
7,0.015216457,3.599920818
8,0.028314641,3.655545265
9,0.032317463,3.762066837
10,0.023983859,3.644292548
11,0.08108727,3.733844548
12,0.00753762,3.453786436
13,0.008198109,3.480017487
14,0.009123874,3.508782873
15,0.010540929,3.541091343
16,0.013067513,3.578815381
17,0.019340476,3.626200807
18,0.096407785,3.697716403
19,0.003228047,4.092240219
20,0.003374044,4.079072779
21,0.003538216,4.065356088
22,0.003724568,4.051022695
23,0.003938445,4.035990373
24,0.004187159,4.020157206
25,0.004481028,4.003394356
26,0.004835151,3.98553506
27,0.005272653,3.966357125
28,0.005831083,3.945553589
29,0.00657625,3.922680116
30,0.007636419,3.897052128
31,0.009304165,3.867518137
32,0.012446258,3.831865824
33,0.021518109,3.78475973
34,0.17024272,3.705034395
35,0.001286514,4.465202638
36,0.001300819,4.459465475
37,0.001315512,4.453672055
38,0.001330612,4.447820891
39,0.001346136,4.441910432
40,0.001362104,4.435939055
41,0.001378536,4.429905065
42,0.001395455,4.423806688
43,0.001412885,4.417642065
44,0.001430851,4.411409249
45,0.00144938,4.405106197
46,0.001468502,4.398730763
47,0.001488246,4.392280691
48,0.001508647,4.385753611
49,0.001529741,4.379147022
50,0.001551567,4.372458292
51,0.001574167,4.365684638
52,0.001597585,4.358823123
53,0.001621872,4.351870639
54,0.001647079,4.344823892
55,0.001673267,4.33767939
56,0.001700496,4.33043342
57,0.001728837,4.323082037
58,0.001758364,4.315621034
59,0.00178916,4.308045922
60,0.001821316,4.300351904
61,0.001854933,4.292533842
62,0.00189012,4.284586223
63,0.001927,4.276503119
64,0.00196571,4.268278147
65,0.002006401,4.25990441
66,0.002049244,4.251374446
67,0.00209443,4.242680159
68,0.002142173,4.233812736
69,0.002192718,4.224762565
70,0.002246341,4.215519123
71,0.002303361,4.206070852
72,0.002364141,4.196405015
73,0.002429102,4.186507521
74,0.002498732,4.176362711
75,0.002573604,4.16595311
76,0.002654392,4.155259119
77,0.002741897,4.144258631
78,0.002837078,4.132926573
79,0.002941098,4.121234307
80,0.003055376,4.109148898
81,0.00318167,4.096632147
82,0.003322188,4.083639353
83,0.003479741,4.070117656
84,0.003657976,4.056003813
85,0.003861723,4.041221122
86,0.004097528,4.025675081
87,0.004374529,4.009247078
88,0.004705917,3.991784898
89,0.005111562,3.973087876
90,0.005623033,3.952882472
91,0.006294087,3.930779571
92,0.007225328,3.906193647
93,0.008632471,3.878172577
94,0.011089524,3.844980891
95,0.01689511,3.802809544
96,0.062176284,3.739628114
97,0.009591315,3.520722661
98,0.011320253,3.554818042
